ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
575,Feelings,Feelings,"""happy, amused, nervous, relaxed""",None,"""What do you think about amused? It's been on my mind.""","""Can you elaborate on that?""",excited,0.54,Yes
576,ChitChat,ChitChat,"""movies, technology, coffee, shopping""",None,"""I feel movies is really intriguing. What’s your opinion?""","""Do you want some advice?""",friendly,0.66,Yes
577,Goodbyes,Goodbyes,"""catch you, ciao, adieu, bye""",None,"""I feel bye, ciao is really intriguing. What’s your opinion?""","""Can you elaborate on that?""",thoughtful,0.89,Yes
578,Feelings,Feelings,"""nervous, jealous, amused, joyful""",None,"""Do you enjoy nervous, jealous? I find it quite interesting.""","""Can you elaborate on that?""",optimistic,0.72,Yes
579,Humor,Humor,"""memes, lol, haha, prank""",None,"""What do you think about haha, memes? It's been on my mind.""","""Do you often feel this way?""",calm,0.97,Yes
580,Feelings,Feelings,"""curious, sad, stressed, happy""",None,"""Recently, curious, stressed, happy caught my attention. Have you noticed that too?""","""What else comes to mind?""",relaxed,0.76,No
581,Thoughts,Thoughts,"""cooking, music, languages, innovation""",None,"""I've been thinking a lot about music, innovation. What are your thoughts?""","""Would you like to continue discussing this?""",thoughtful,0.77,Yes
582,Goodbyes,Goodbyes,"""goodbye, cheerio, catch you, ciao""",None,"""catch you, cheerio, goodbye? That’s an interesting topic! Let's discuss.""","""What’s the story behind it?""",supportive,0.65,Yes
583,Thoughts,Thoughts,"""fashion, movies, cooking, languages""",None,"""I'm curious about fashion, movies. Care to share your experience?""","""Would you like some tips?""",chill,0.71,Yes
584,Thoughts,Thoughts,"""politics, history, science, languages""",None,"""I feel science, history is really intriguing. What’s your opinion?""","""Does it happen often?""",friendly,0.69,Yes
585,Intro,Intro,"""ahoy, yo, hi, what’s up""",None,"""What do you think about hi, what’s up, ahoy? It's been on my mind.""","""How does that make you feel right now?""",helpful,0.54,Yes
586,ChitChat,ChitChat,"""festival, travel, hobby, coffee""",None,"""Do you enjoy festival, travel, coffee? I find it quite interesting.""","""Have you tried something similar before?""",relaxed,0.95,No
587,Intro,Intro,"""greetings, hey, bonjour, ahoy""",None,"""greetings, hey, bonjour is something I like to explore. How about you?""","""Do you enjoy this a lot?""",motivated,0.54,No
588,Intro,Intro,"""hey, greetings, hello, bonjour""",None,"""bonjour, hey, greetings is something I like to explore. How about you?""","""Do you often feel this way?""",relaxed,0.64,No
589,Thoughts,Thoughts,"""innovation, space, politics, tech""",None,"""I've been thinking a lot about tech, space, innovation. What are your thoughts?""","""Is there a reason it makes you happy?""",chill,0.54,No
590,Goodbyes,Goodbyes,"""take care, bye, peace, see you""",None,"""bye, peace is something I like to explore. How about you?""","""Does it happen often?""",witty,0.82,No
591,Thoughts,Thoughts,"""cooking, innovation, art, languages""",None,"""innovation, art, cooking? That’s an interesting topic! Let's discuss.""","""Can you elaborate on that?""",excited,0.92,No
592,ChitChat,ChitChat,"""weather, coffee, festival, nature""",None,"""weather can be so engaging! Do you like it as well?""","""What’s the story behind it?""",friendly,0.68,No
593,ChitChat,ChitChat,"""weather, festival, food, books""",None,"""I feel weather, books is really intriguing. What’s your opinion?""","""Do you often feel this way?""",friendly,0.89,Yes
594,Thoughts,Thoughts,"""literature, psychology, space, languages""",None,"""Do you enjoy languages? I find it quite interesting.""","""Does it happen often?""",curious,0.62,No
595,Intro,Intro,"""hi, bonjour, ahoy, greetings""",None,"""greetings, hi always fascinates me. How do you feel about it?""","""What’s the story behind it?""",witty,0.85,Yes
596,Humor,Humor,"""sarcastic, joke, pun, silly""",None,"""I've been thinking a lot about silly, joke, pun. What are your thoughts?""","""Do you often feel this way?""",relaxed,0.63,Yes
597,Thoughts,Thoughts,"""tech, science, environment, sports""",None,"""I feel tech, environment, sports is really intriguing. What’s your opinion?""","""Do you enjoy this a lot?""",curious,0.85,No
598,Feelings,Feelings,"""sad, amused, surprised, hopeful""",None,"""Do you enjoy surprised, sad? I find it quite interesting.""","""Would you like to continue discussing this?""",inquisitive,0.69,No
599,Goodbyes,Goodbyes,"""see you, catch you, night, ciao""",None,"""see you, ciao is something I like to explore. How about you?""","""Do you want some advice?""",calm,0.64,Yes
600,Thoughts,Thoughts,"""gaming, space, literature, history""",None,"""What do you think about gaming, space? It's been on my mind.""","""How long has this been on your mind?""",witty,0.67,Yes
601,Feelings,Feelings,"""grateful, nervous, angry, anxious""",None,"""grateful? That’s an interesting topic! Let's discuss.""","""What else comes to mind?""",funny,0.92,Yes
602,ChitChat,ChitChat,"""travel, movies, hobby, sports""",None,"""movies is something I like to explore. How about you?""","""Can you elaborate on that?""",enthusiastic,0.58,No
603,Feelings,Feelings,"""amused, stressed, joyful, nervous""",None,"""nervous, joyful can be so engaging! Do you like it as well?""","""How long has this been on your mind?""",chill,0.96,No
604,Feelings,Feelings,"""bored, hopeful, relaxed, happy""",None,"""hopeful? That’s an interesting topic! Let's discuss.""","""Can you elaborate on that?""",funny,0.92,No
605,ChitChat,ChitChat,"""pets, coffee, travel, food""",None,"""I feel travel, food, pets is really intriguing. What’s your opinion?""","""Would you like some tips?""",curious,0.57,No
606,ChitChat,ChitChat,"""fitness, travel, technology, nature""",None,"""travel, technology, nature is something I like to explore. How about you?""","""What else comes to mind?""",funny,0.87,Yes
607,Thoughts,Thoughts,"""space, literature, books, philosophy""",None,"""books, space, literature? That’s an interesting topic! Let's discuss.""","""What else comes to mind?""",sarcastic,0.97,No
608,Feelings,Feelings,"""tired, excited, jealous, relaxed""",None,"""tired, relaxed, excited is something I like to explore. How about you?""","""Does it remind you of anything?""",optimistic,0.92,Yes
609,Goodbyes,Goodbyes,"""farewell, night, adieu, peace""",None,"""night can be so engaging! Do you like it as well?""","""How does that make you feel right now?""",witty,0.78,Yes
610,Thoughts,Thoughts,"""tech, movies, design, cooking""",None,"""design, movies, cooking? That’s an interesting topic! Let's discuss.""","""Do you enjoy this a lot?""",motivated,0.83,No
611,ChitChat,ChitChat,"""fitness, city, beach, gardening""",None,"""beach always fascinates me. How do you feel about it?""","""Do you want some advice?""",helpful,0.57,Yes
612,Goodbyes,Goodbyes,"""cheerio, adieu, peace, goodbye""",None,"""goodbye can be so engaging! Do you like it as well?""","""Can you elaborate on that?""",calm,0.98,Yes
613,Intro,Intro,"""what’s up, greetings, salutations, bonjour""",None,"""bonjour, what’s up is something I like to explore. How about you?""","""Do you want some advice?""",chill,0.54,Yes
614,Thoughts,Thoughts,"""music, literature, movies, environment""",None,"""movies, environment, literature always fascinates me. How do you feel about it?""","""Would you like some tips?""",cheerful,0.71,No
615,Thoughts,Thoughts,"""science, politics, history, environment""",None,"""I've been thinking a lot about politics, environment, science. What are your thoughts?""","""Have you tried something similar before?""",supportive,0.51,No
616,Intro,Intro,"""salutations, hello, greetings, hola""",None,"""I feel hello is really intriguing. What’s your opinion?""","""Does it remind you of anything?""",friendly,0.64,No
617,Goodbyes,Goodbyes,"""farewell, see you, later, peace""",None,"""What do you think about later, farewell? It's been on my mind.""","""Do you enjoy this a lot?""",excited,0.9,No
618,Feelings,Feelings,"""surprised, stressed, confident, excited""",None,"""Do you enjoy confident, surprised, stressed? I find it quite interesting.""","""Can you describe it more vividly?""",inquisitive,0.62,No
619,Feelings,Feelings,"""joyful, frustrated, bored, angry""",None,"""What do you think about joyful? It's been on my mind.""","""How does that make you feel right now?""",motivated,0.58,No
620,Goodbyes,Goodbyes,"""bye, farewell, cheerio, take care""",None,"""bye, cheerio always fascinates me. How do you feel about it?""","""What’s the story behind it?""",optimistic,0.64,No
621,Goodbyes,Goodbyes,"""later, peace, cheerio, bye""",None,"""I'm curious about cheerio. Care to share your experience?""","""Does it remind you of anything?""",chill,0.79,Yes
622,Humor,Humor,"""giggle, silly, funny, laugh""",None,"""I've been thinking a lot about funny, giggle. What are your thoughts?""","""Do you want some advice?""",helpful,0.63,Yes
623,ChitChat,ChitChat,"""pets, sports, drink, travel""",None,"""I feel travel, pets is really intriguing. What’s your opinion?""","""Can you describe it more vividly?""",optimistic,0.98,Yes
624,Feelings,Feelings,"""bored, nervous, grateful, excited""",None,"""I feel excited is really intriguing. What’s your opinion?""","""Does it happen often?""",optimistic,0.76,Yes
625,Intro,Intro,"""hola, ahoy, greetings, howdy""",None,"""Do you enjoy greetings, hola? I find it quite interesting.""","""Have you tried something similar before?""",empathetic,0.91,No
626,ChitChat,ChitChat,"""travel, mountains, movies, drink""",None,"""Do you enjoy movies, mountains? I find it quite interesting.""","""Can you elaborate on that?""",curious,0.88,Yes
627,ChitChat,ChitChat,"""hobby, travel, culture, drink""",None,"""hobby is something I like to explore. How about you?""","""What’s the story behind it?""",empathetic,0.82,Yes
628,Thoughts,Thoughts,"""tech, languages, politics, philosophy""",None,"""philosophy can be so engaging! Do you like it as well?""","""How long has this been on your mind?""",optimistic,0.7,Yes
629,Humor,Humor,"""silly, giggle, pun, humor""",None,"""humor, silly, giggle can be so engaging! Do you like it as well?""","""Is there a reason it makes you happy?""",calm,0.7,No
630,Intro,Intro,"""yo, hey, salutations, howdy""",None,"""I feel salutations, hey is really intriguing. What’s your opinion?""","""Do you often feel this way?""",thoughtful,0.66,Yes
631,Goodbyes,Goodbyes,"""goodbye, take care, cheerio, catch you""",None,"""I'm curious about take care. Care to share your experience?""","""How long has this been on your mind?""",thoughtful,0.93,Yes
632,Feelings,Feelings,"""frustrated, surprised, curious, confident""",None,"""I'm curious about surprised, confident, curious. Care to share your experience?""","""How does that make you feel right now?""",relaxed,0.83,Yes
633,ChitChat,ChitChat,"""sports, nature, games, beach""",None,"""Recently, sports, games caught my attention. Have you noticed that too?""","""Does it happen often?""",excited,0.73,No
634,ChitChat,ChitChat,"""pet, movies, nature, music""",None,"""What do you think about pet, music? It's been on my mind.""","""Do you often feel this way?""",enthusiastic,0.66,No
635,ChitChat,ChitChat,"""technology, travel, coffee, fitness""",None,"""travel is something I like to explore. How about you?""","""Can you describe it more vividly?""",thoughtful,0.93,Yes
636,Intro,Intro,"""hello, hola, ahoy, sup""",None,"""I feel sup, hello, ahoy is really intriguing. What’s your opinion?""","""Do you enjoy this a lot?""",supportive,0.88,Yes
637,ChitChat,ChitChat,"""pets, food, sports, coffee""",None,"""Do you enjoy sports? I find it quite interesting.""","""Does it happen often?""",friendly,0.83,Yes
638,Intro,Intro,"""hey, bonjour, what’s up, howdy""",None,"""bonjour always fascinates me. How do you feel about it?""","""What else comes to mind?""",chill,0.78,Yes
639,Intro,Intro,"""bonjour, salutations, greetings, hey""",None,"""I feel greetings is really intriguing. What’s your opinion?""","""Can you elaborate on that?""",playful,0.88,No
640,Goodbyes,Goodbyes,"""later, peace, night, cheerio""",None,"""I'm curious about peace, later, cheerio. Care to share your experience?""","""Does it remind you of anything?""",helpful,0.97,Yes
641,Intro,Intro,"""hiya, ahoy, howdy, hi""",None,"""I feel ahoy, howdy is really intriguing. What’s your opinion?""","""Would you like to continue discussing this?""",supportive,0.76,Yes
642,Feelings,Feelings,"""joyful, anxious, sad, happy""",None,"""joyful can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",witty,0.66,Yes
643,Feelings,Feelings,"""anxious, grateful, excited, nervous""",None,"""Recently, anxious caught my attention. Have you noticed that too?""","""Do you enjoy this a lot?""",enthusiastic,0.83,No
644,ChitChat,ChitChat,"""shopping, music, mountains, culture""",None,"""Do you enjoy shopping, mountains? I find it quite interesting.""","""What else comes to mind?""",optimistic,0.7,Yes
645,Thoughts,Thoughts,"""politics, history, environment, innovation""",None,"""history can be so engaging! Do you like it as well?""","""Is there a reason it makes you happy?""",sarcastic,0.52,Yes
646,Goodbyes,Goodbyes,"""take care, ciao, catch you, cheerio""",None,"""take care, cheerio? That’s an interesting topic! Let's discuss.""","""Can you elaborate on that?""",empathetic,0.62,No
647,Goodbyes,Goodbyes,"""bye, night, farewell, catch you""",None,"""I've been thinking a lot about bye, night. What are your thoughts?""","""Would you like some tips?""",supportive,0.81,Yes
648,Goodbyes,Goodbyes,"""see you, night, later, cheerio""",None,"""What do you think about later, cheerio? It's been on my mind.""","""Does it remind you of anything?""",cheerful,0.52,Yes
649,Thoughts,Thoughts,"""books, sports, science, literature""",None,"""Do you enjoy literature, books? I find it quite interesting.""","""Would you like to continue discussing this?""",relaxed,0.63,No
650,Thoughts,Thoughts,"""science, space, design, art""",None,"""science can be so engaging! Do you like it as well?""","""Can you describe it more vividly?""",witty,0.99,No
651,Humor,Humor,"""prank, pun, haha, silly""",None,"""I'm curious about silly, pun. Care to share your experience?""","""What else comes to mind?""",sarcastic,0.77,Yes
652,Feelings,Feelings,"""bored, relaxed, anxious, tired""",None,"""anxious can be so engaging! Do you like it as well?""","""Is there a reason it makes you happy?""",helpful,0.72,Yes
653,Intro,Intro,"""bonjour, yo, ahoy, hello""",None,"""I've been thinking a lot about bonjour, ahoy. What are your thoughts?""","""Do you often feel this way?""",sarcastic,0.68,No
654,Feelings,Feelings,"""surprised, nervous, joyful, amused""",None,"""I'm curious about amused. Care to share your experience?""","""Do you enjoy this a lot?""",chill,0.92,No
655,Thoughts,Thoughts,"""tech, music, space, fashion""",None,"""Recently, music, tech caught my attention. Have you noticed that too?""","""Is there a reason it makes you happy?""",cheerful,0.8,No
656,Feelings,Feelings,"""surprised, amused, frustrated, nervous""",None,"""I feel amused, nervous, surprised is really intriguing. What’s your opinion?""","""Would you like some tips?""",friendly,0.71,No
657,Thoughts,Thoughts,"""science, innovation, politics, philosophy""",None,"""What do you think about politics, innovation, science? It's been on my mind.""","""Do you often feel this way?""",excited,0.51,Yes
658,Feelings,Feelings,"""excited, joyful, curious, relaxed""",None,"""I feel relaxed is really intriguing. What’s your opinion?""","""Would you like to continue discussing this?""",relaxed,0.91,Yes
659,ChitChat,ChitChat,"""sports, drink, culture, coffee""",None,"""I've been thinking a lot about culture, coffee, sports. What are your thoughts?""","""How long has this been on your mind?""",inquisitive,0.52,No
660,Goodbyes,Goodbyes,"""goodbye, night, peace, bye""",None,"""I'm curious about peace. Care to share your experience?""","""Do you want some advice?""",curious,0.76,Yes
661,Goodbyes,Goodbyes,"""bye, goodbye, cheerio, peace""",None,"""goodbye, cheerio? That’s an interesting topic! Let's discuss.""","""Does it happen often?""",witty,0.67,No
662,Goodbyes,Goodbyes,"""goodbye, bye, catch you, farewell""",None,"""Do you enjoy bye, goodbye, catch you? I find it quite interesting.""","""Do you enjoy this a lot?""",chill,0.96,No
663,Thoughts,Thoughts,"""design, environment, fashion, innovation""",None,"""innovation, environment can be so engaging! Do you like it as well?""","""Does it remind you of anything?""",funny,0.84,No
664,Intro,Intro,"""hola, what’s up, greetings, hiya""",None,"""hiya? That’s an interesting topic! Let's discuss.""","""Do you often feel this way?""",optimistic,0.92,No
665,Feelings,Feelings,"""frustrated, stressed, happy, nervous""",None,"""nervous, stressed, happy is something I like to explore. How about you?""","""What’s the story behind it?""",enthusiastic,0.75,Yes
666,Humor,Humor,"""joke, humor, pun, memes""",None,"""I'm curious about humor, joke, pun. Care to share your experience?""","""Do you enjoy this a lot?""",relaxed,0.67,Yes
667,ChitChat,ChitChat,"""books, shopping, drink, coffee""",None,"""I've been thinking a lot about coffee, shopping. What are your thoughts?""","""Does it remind you of anything?""",sarcastic,0.72,No
668,ChitChat,ChitChat,"""movies, weather, drink, coffee""",None,"""drink, coffee always fascinates me. How do you feel about it?""","""Can you elaborate on that?""",supportive,0.76,No
669,Goodbyes,Goodbyes,"""goodbye, farewell, see you, ciao""",None,"""I've been thinking a lot about see you, goodbye. What are your thoughts?""","""What’s the story behind it?""",empathetic,0.92,No
670,Feelings,Feelings,"""joyful, surprised, confident, angry""",None,"""What do you think about joyful, confident, angry? It's been on my mind.""","""Have you tried something similar before?""",helpful,0.55,Yes
671,ChitChat,ChitChat,"""hobby, coffee, beach, festival""",None,"""hobby, beach, festival is something I like to explore. How about you?""","""Do you want some advice?""",excited,0.87,Yes
672,Thoughts,Thoughts,"""environment, fashion, movies, gaming""",None,"""environment is something I like to explore. How about you?""","""Do you want some advice?""",optimistic,0.96,Yes
673,Feelings,Feelings,"""relaxed, happy, sad, amused""",None,"""amused, relaxed can be so engaging! Do you like it as well?""","""Have you tried something similar before?""",optimistic,0.69,No
674,ChitChat,ChitChat,"""festival, coffee, gardening, books""",None,"""gardening, festival, books can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",enthusiastic,0.51,Yes
675,Feelings,Feelings,"""bored, anxious, angry, sad""",None,"""angry, anxious, sad can be so engaging! Do you like it as well?""","""Can you describe it more vividly?""",curious,0.76,No
676,ChitChat,ChitChat,"""nature, mountains, pets, movies""",None,"""Recently, movies, mountains caught my attention. Have you noticed that too?""","""Is there a reason it makes you happy?""",friendly,0.98,No
677,Thoughts,Thoughts,"""psychology, politics, cooking, movies""",None,"""Recently, cooking, politics caught my attention. Have you noticed that too?""","""How long has this been on your mind?""",witty,0.56,Yes
678,Humor,Humor,"""quirky, haha, sarcastic, pun""",None,"""quirky, haha? That’s an interesting topic! Let's discuss.""","""Do you often feel this way?""",chill,0.86,No
679,ChitChat,ChitChat,"""food, beach, music, gardening""",None,"""I'm curious about food. Care to share your experience?""","""Can you elaborate on that?""",witty,0.52,No
680,Goodbyes,Goodbyes,"""later, goodbye, farewell, peace""",None,"""later? That’s an interesting topic! Let's discuss.""","""How does that make you feel right now?""",witty,0.59,No
681,ChitChat,ChitChat,"""weather, food, nature, fitness""",None,"""I'm curious about fitness. Care to share your experience?""","""Does it happen often?""",optimistic,0.7,Yes
682,Feelings,Feelings,"""jealous, grateful, happy, sad""",None,"""I'm curious about sad. Care to share your experience?""","""Do you enjoy this a lot?""",thoughtful,0.93,No
683,Goodbyes,Goodbyes,"""bye, ciao, night, take care""",None,"""I'm curious about take care, night, bye. Care to share your experience?""","""Have you tried something similar before?""",optimistic,0.59,Yes
684,Goodbyes,Goodbyes,"""peace, catch you, see you, later""",None,"""see you, later? That’s an interesting topic! Let's discuss.""","""Do you often feel this way?""",friendly,0.7,No
685,Intro,Intro,"""sup, ahoy, bonjour, hello""",None,"""I'm curious about bonjour, sup, ahoy. Care to share your experience?""","""What’s the story behind it?""",witty,0.62,Yes
686,Humor,Humor,"""joke, silly, prank, laugh""",None,"""joke, silly, laugh always fascinates me. How do you feel about it?""","""How long has this been on your mind?""",sarcastic,0.88,No
687,Goodbyes,Goodbyes,"""later, farewell, catch you, see you""",None,"""farewell, later, see you? That’s an interesting topic! Let's discuss.""","""Do you often feel this way?""",inquisitive,0.85,Yes
688,ChitChat,ChitChat,"""sports, books, travel, beach""",None,"""I've been thinking a lot about travel, beach, books. What are your thoughts?""","""What else comes to mind?""",helpful,0.72,No
689,Thoughts,Thoughts,"""gaming, movies, environment, science""",None,"""environment, gaming always fascinates me. How do you feel about it?""","""Have you tried something similar before?""",relaxed,0.65,Yes
690,Thoughts,Thoughts,"""psychology, innovation, history, movies""",None,"""What do you think about history? It's been on my mind.""","""Would you like some tips?""",curious,0.95,No
691,ChitChat,ChitChat,"""beach, games, music, city""",None,"""I'm curious about games. Care to share your experience?""","""Have you tried something similar before?""",cheerful,0.57,Yes
692,Thoughts,Thoughts,"""design, tech, philosophy, literature""",None,"""tech, philosophy can be so engaging! Do you like it as well?""","""Does it remind you of anything?""",chill,0.89,No
693,Goodbyes,Goodbyes,"""farewell, bye, peace, ciao""",None,"""farewell? That’s an interesting topic! Let's discuss.""","""Have you tried something similar before?""",chill,0.83,No
694,Intro,Intro,"""greetings, hey, yo, howdy""",None,"""yo is something I like to explore. How about you?""","""Do you want some advice?""",inquisitive,0.52,Yes
695,ChitChat,ChitChat,"""weather, travel, food, technology""",None,"""travel, weather always fascinates me. How do you feel about it?""","""Do you enjoy this a lot?""",curious,0.91,Yes
696,Thoughts,Thoughts,"""sports, space, innovation, politics""",None,"""sports, space, politics? That’s an interesting topic! Let's discuss.""","""Do you want some advice?""",enthusiastic,0.6,No
697,Humor,Humor,"""funny, haha, lol, prank""",None,"""I feel prank, lol, funny is really intriguing. What’s your opinion?""","""Does it remind you of anything?""",enthusiastic,0.59,No
698,Feelings,Feelings,"""happy, jealous, tired, sad""",None,"""I feel jealous, happy, sad is really intriguing. What’s your opinion?""","""Would you like to continue discussing this?""",sarcastic,0.55,No
699,Feelings,Feelings,"""curious, bored, nervous, joyful""",None,"""curious, joyful, nervous is something I like to explore. How about you?""","""Would you like to continue discussing this?""",calm,0.7,Yes
700,Intro,Intro,"""yo, what’s up, hi, greetings""",None,"""greetings, hi can be so engaging! Do you like it as well?""","""Would you like some tips?""",relaxed,0.95,Yes
701,Humor,Humor,"""joke, quirky, humor, laugh""",None,"""Do you enjoy joke? I find it quite interesting.""","""Have you tried something similar before?""",funny,0.52,No
702,Thoughts,Thoughts,"""gaming, cooking, science, literature""",None,"""What do you think about science? It's been on my mind.""","""Do you want some advice?""",sarcastic,0.52,Yes
703,Humor,Humor,"""silly, giggle, memes, quirky""",None,"""giggle, quirky, silly is something I like to explore. How about you?""","""Have you tried something similar before?""",inquisitive,0.53,Yes
704,Thoughts,Thoughts,"""fashion, languages, literature, innovation""",None,"""I've been thinking a lot about innovation. What are your thoughts?""","""Would you like some tips?""",calm,0.85,Yes
705,Humor,Humor,"""sarcastic, joke, silly, giggle""",None,"""joke is something I like to explore. How about you?""","""How long has this been on your mind?""",friendly,0.89,No
706,Intro,Intro,"""hello, sup, what’s up, bonjour""",None,"""what’s up can be so engaging! Do you like it as well?""","""How does that make you feel right now?""",funny,0.65,Yes
707,ChitChat,ChitChat,"""pet, mountains, travel, culture""",None,"""What do you think about culture, travel? It's been on my mind.""","""Do you enjoy this a lot?""",optimistic,0.52,Yes
708,Goodbyes,Goodbyes,"""see you, later, peace, adieu""",None,"""Do you enjoy later, peace, adieu? I find it quite interesting.""","""Do you enjoy this a lot?""",playful,0.82,No
709,Humor,Humor,"""humor, haha, giggle, quirky""",None,"""I'm curious about giggle, humor, quirky. Care to share your experience?""","""Do you often feel this way?""",chill,0.65,Yes
710,Humor,Humor,"""pun, haha, sarcastic, laugh""",None,"""Do you enjoy laugh, sarcastic? I find it quite interesting.""","""Does it happen often?""",curious,0.99,Yes
711,Goodbyes,Goodbyes,"""later, catch you, see you, peace""",None,"""see you always fascinates me. How do you feel about it?""","""Would you like to continue discussing this?""",playful,0.83,No
712,Feelings,Feelings,"""amused, bored, sad, grateful""",None,"""I feel grateful, bored is really intriguing. What’s your opinion?""","""Have you tried something similar before?""",friendly,0.98,No
713,Goodbyes,Goodbyes,"""night, ciao, catch you, take care""",None,"""night? That’s an interesting topic! Let's discuss.""","""How long has this been on your mind?""",funny,0.9,Yes
714,Thoughts,Thoughts,"""languages, environment, design, movies""",None,"""languages, design, movies always fascinates me. How do you feel about it?""","""Do you want some advice?""",optimistic,0.85,Yes
715,Thoughts,Thoughts,"""environment, science, art, philosophy""",None,"""Do you enjoy science? I find it quite interesting.""","""Would you like to continue discussing this?""",enthusiastic,0.99,Yes
716,ChitChat,ChitChat,"""movies, pet, coffee, pets""",None,"""I've been thinking a lot about movies. What are your thoughts?""","""Do you want some advice?""",empathetic,0.64,No
717,Humor,Humor,"""joke, laugh, quirky, prank""",None,"""I feel quirky, laugh, joke is really intriguing. What’s your opinion?""","""Can you elaborate on that?""",curious,1.0,Yes
718,Intro,Intro,"""bonjour, ahoy, hey, hi""",None,"""hey is something I like to explore. How about you?""","""Is there a reason it makes you happy?""",optimistic,0.55,No
719,Feelings,Feelings,"""frustrated, relaxed, sad, angry""",None,"""Do you enjoy sad, angry? I find it quite interesting.""","""Is there a reason it makes you happy?""",relaxed,0.53,No
720,Goodbyes,Goodbyes,"""cheerio, catch you, later, adieu""",None,"""Recently, cheerio, later caught my attention. Have you noticed that too?""","""Do you often feel this way?""",supportive,0.56,Yes
721,Goodbyes,Goodbyes,"""night, adieu, ciao, bye""",None,"""Recently, ciao caught my attention. Have you noticed that too?""","""What else comes to mind?""",optimistic,0.89,No
722,Feelings,Feelings,"""stressed, relaxed, joyful, angry""",None,"""angry can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",curious,0.6,No
723,Humor,Humor,"""joke, silly, quirky, lol""",None,"""I'm curious about silly. Care to share your experience?""","""Would you like some tips?""",calm,0.76,No
724,ChitChat,ChitChat,"""shopping, mountains, technology, food""",None,"""technology, mountains, food is something I like to explore. How about you?""","""Is there a reason it makes you happy?""",helpful,0.82,No
725,Thoughts,Thoughts,"""gaming, philosophy, tech, languages""",None,"""I'm curious about gaming. Care to share your experience?""","""Do you want some advice?""",sarcastic,0.8,Yes
726,Humor,Humor,"""lol, joke, haha, sarcastic""",None,"""sarcastic can be so engaging! Do you like it as well?""","""Does it remind you of anything?""",helpful,0.97,No
727,Humor,Humor,"""silly, laugh, haha, humor""",None,"""humor, laugh can be so engaging! Do you like it as well?""","""Do you want some advice?""",calm,0.54,Yes
728,Feelings,Feelings,"""confident, nervous, joyful, bored""",None,"""I'm curious about bored. Care to share your experience?""","""Does it remind you of anything?""",motivated,0.81,No
729,Intro,Intro,"""hi, bonjour, hello, hola""",None,"""Recently, hello caught my attention. Have you noticed that too?""","""What else comes to mind?""",excited,0.93,Yes
730,Intro,Intro,"""hi, howdy, what’s up, sup""",None,"""hi can be so engaging! Do you like it as well?""","""Do you often feel this way?""",inquisitive,0.63,No
731,Thoughts,Thoughts,"""fashion, tech, history, design""",None,"""fashion, tech, design is something I like to explore. How about you?""","""How long has this been on your mind?""",sarcastic,0.61,No
732,Intro,Intro,"""yo, bonjour, greetings, howdy""",None,"""yo, bonjour, howdy can be so engaging! Do you like it as well?""","""Do you often feel this way?""",supportive,0.63,Yes
733,Thoughts,Thoughts,"""environment, sports, design, innovation""",None,"""Do you enjoy sports, environment, design? I find it quite interesting.""","""Do you want some advice?""",excited,0.51,No
734,Humor,Humor,"""quirky, prank, pun, memes""",None,"""Do you enjoy memes, pun? I find it quite interesting.""","""Do you enjoy this a lot?""",inquisitive,0.93,No
735,ChitChat,ChitChat,"""books, music, fitness, weather""",None,"""What do you think about music, fitness? It's been on my mind.""","""Does it remind you of anything?""",curious,0.89,Yes
736,Goodbyes,Goodbyes,"""ciao, later, farewell, night""",None,"""I've been thinking a lot about later, ciao, night. What are your thoughts?""","""How long has this been on your mind?""",cheerful,0.91,Yes
737,ChitChat,ChitChat,"""music, weather, pets, books""",None,"""weather? That’s an interesting topic! Let's discuss.""","""Do you want some advice?""",empathetic,0.63,No
738,ChitChat,ChitChat,"""culture, travel, fitness, shopping""",None,"""I'm curious about culture, travel. Care to share your experience?""","""Does it remind you of anything?""",motivated,0.93,Yes
739,Goodbyes,Goodbyes,"""adieu, peace, goodbye, ciao""",None,"""I've been thinking a lot about peace, ciao. What are your thoughts?""","""How long has this been on your mind?""",supportive,0.58,No
740,Thoughts,Thoughts,"""science, languages, design, tech""",None,"""tech can be so engaging! Do you like it as well?""","""What else comes to mind?""",witty,0.93,No
741,Thoughts,Thoughts,"""environment, languages, art, design""",None,"""art can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",motivated,0.88,Yes
742,Thoughts,Thoughts,"""music, innovation, cooking, literature""",None,"""music, innovation, literature always fascinates me. How do you feel about it?""","""Does it happen often?""",chill,0.5,Yes
743,Humor,Humor,"""silly, lol, quirky, memes""",None,"""quirky, lol is something I like to explore. How about you?""","""Can you describe it more vividly?""",excited,0.73,Yes
744,ChitChat,ChitChat,"""fitness, weather, festival, travel""",None,"""I feel fitness is really intriguing. What’s your opinion?""","""Can you elaborate on that?""",playful,0.82,No
745,ChitChat,ChitChat,"""technology, weather, festival, pet""",None,"""festival, weather, pet? That’s an interesting topic! Let's discuss.""","""How does that make you feel right now?""",helpful,0.69,No
