ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
308,Small Talk,Small Talk,"""drink, weather, pet""",None,"""Pets are great! Do you have any?""","""Do you usually do this?""",friendly,0.89,No
309,Mood,Mood,"""happy, frustrated, joyful""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you often feel this way?""",calm,0.75,No
310,Small Talk,Small Talk,"""pet, food, travel""",None,"""Traveling is fun! Where is your dream destination?""","""Do you enjoy this often?""",friendly,0.74,No
311,Small Talk,Small Talk,"""drink, hobby, travel""",None,"""Traveling is fun! Where is your dream destination?""","""What’s been happening lately?""",calm,0.96,Yes
312,Greeting,Greeting,"""hey, yo, hi""",None,"""Hello! What’s up?""","""Do you enjoy this often?""",calm,0.78,No
313,Greeting,Greeting,"""hey, hello, yo""",None,"""Hey! How’s it going?""","""Do you often feel this way?""",enthusiastic,0.75,Yes
314,Mood,Mood,"""tired, excited, joyful""",None,"""That’s exciting! Can you tell me more?""","""What’s been happening lately?""",empathetic,0.8,Yes
315,Small Talk,Small Talk,"""drink, food, weather""",None,"""I love talking about food! What’s your favorite meal?""","""Do you want to tell me more?""",empathetic,0.75,Yes
316,Mood,Mood,"""excited, tired, happy""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you often feel this way?""",calm,0.74,No
317,Farewell,Farewell,"""night, bye, see you""",None,"""Good night! Sleep well.""","""Do you enjoy this often?""",playful,0.94,Yes
318,Opinion,Opinion,"""books, movies, sports""",None,"""Sports are exciting! Do you play any?""","""Do you enjoy this often?""",calm,0.85,Yes
319,Small Talk,Small Talk,"""drink, pet, weather""",None,"""Traveling is fun! Where is your dream destination?""","""Do you want to tell me more?""",playful,0.87,No
320,Small Talk,Small Talk,"""weather, drink, hobby""",None,"""I love talking about food! What’s your favorite meal?""","""Do you enjoy this often?""",calm,0.85,No
321,Joke,Joke,"""joke, humor, funny""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Did that make you laugh?""",friendly,0.9,No
322,Greeting,Greeting,"""hey, hello, hi""",None,"""Hello! What’s up?""","""Do you want to tell me more?""",cheerful,0.99,No
323,Greeting,Greeting,"""hey, hi, yo""",None,"""Hello! What’s up?""","""Do you often feel this way?""",calm,0.98,Yes
324,Mood,Mood,"""excited, happy, frustrated""",None,"""That’s exciting! Can you tell me more?""","""What’s been happening lately?""",playful,0.98,No
325,Joke,Joke,"""laugh, humor, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you usually do this?""",helpful,0.81,No
326,Farewell,Farewell,"""night, see you, goodbye""",None,"""Good night! Sleep well.""","""What’s been happening lately?""",empathetic,0.87,Yes
327,Joke,Joke,"""pun, funny, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you often feel this way?""",calm,0.91,Yes
328,Opinion,Opinion,"""sports, books, movies""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Do you enjoy this often?""",playful,0.85,Yes
329,Mood,Mood,"""frustrated, happy, tired""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you usually do this?""",calm,0.76,Yes
330,Greeting,Greeting,"""hey, yo, hello""",None,"""Hey! How’s it going?""","""Do you often feel this way?""",enthusiastic,0.77,No
331,Greeting,Greeting,"""hi, yo, hello""",None,"""Hi there! How are you?""","""Do you often feel this way?""",playful,0.98,Yes
332,Small Talk,Small Talk,"""drink, food, travel""",None,"""Traveling is fun! Where is your dream destination?""","""Do you usually do this?""",empathetic,0.87,Yes
333,Farewell,Farewell,"""goodbye, see you, night""",None,"""Good night! Sleep well.""","""What’s been happening lately?""",helpful,0.87,No
334,Small Talk,Small Talk,"""food, travel, hobby""",None,"""Pets are great! Do you have any?""","""Do you want to tell me more?""",playful,0.81,Yes
335,Greeting,Greeting,"""yo, hello, hi""",None,"""Hey! How’s it going?""","""Do you usually do this?""",enthusiastic,0.75,Yes
336,Opinion,Opinion,"""music, tech, sports""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Did that make you laugh?""",cheerful,0.79,Yes
337,Opinion,Opinion,"""movies, music, books""",None,"""Sports are exciting! Do you play any?""","""Can you explain a bit more?""",playful,0.98,No
338,Small Talk,Small Talk,"""food, weather, pet""",None,"""I love talking about food! What’s your favorite meal?""","""Do you often feel this way?""",helpful,0.83,No
339,Farewell,Farewell,"""see you, goodbye, bye""",None,"""Good night! Sleep well.""","""Do you enjoy this often?""",enthusiastic,0.8,No
340,Farewell,Farewell,"""goodbye, night, bye""",None,"""Bye! It was nice talking with you.""","""Do you usually do this?""",calm,0.85,Yes
341,Farewell,Farewell,"""see you, goodbye, night""",None,"""Bye! It was nice talking with you.""","""Do you often feel this way?""",enthusiastic,0.87,No
342,Joke,Joke,"""laugh, pun, joke""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Did that make you laugh?""",enthusiastic,0.77,No
343,Farewell,Farewell,"""goodbye, night, bye""",None,"""Good night! Sleep well.""","""Do you want to tell me more?""",empathetic,0.89,No
344,Farewell,Farewell,"""night, bye, see you""",None,"""Good night! Sleep well.""","""Can you explain a bit more?""",friendly,0.87,No
345,Small Talk,Small Talk,"""hobby, drink, weather""",None,"""Pets are great! Do you have any?""","""Do you often feel this way?""",friendly,0.92,No
346,Opinion,Opinion,"""tech, sports, books""",None,"""Sports are exciting! Do you play any?""","""Can you explain a bit more?""",cheerful,0.91,Yes
347,Mood,Mood,"""tired, frustrated, happy""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you usually do this?""",cheerful,0.78,No
348,Greeting,Greeting,"""hey, yo, hello""",None,"""Hey! How’s it going?""","""Do you enjoy this often?""",enthusiastic,0.76,No
349,Joke,Joke,"""pun, funny, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Did that make you laugh?""",empathetic,0.88,No
350,Greeting,Greeting,"""hello, hi, hey""",None,"""Hey! How’s it going?""","""What’s been happening lately?""",helpful,0.86,No
351,Joke,Joke,"""joke, laugh, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Can you explain a bit more?""",friendly,0.81,No
352,Mood,Mood,"""happy, tired, joyful""",None,"""I’m glad to hear that! What’s making you happy today?""","""What’s been happening lately?""",friendly,0.81,No
353,Mood,Mood,"""tired, excited, frustrated""",None,"""That’s exciting! Can you tell me more?""","""Do you enjoy this often?""",cheerful,0.75,Yes
354,Mood,Mood,"""tired, happy, sad""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you usually do this?""",empathetic,0.81,No
355,Joke,Joke,"""joke, pun, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""What’s been happening lately?""",empathetic,0.73,No
356,Farewell,Farewell,"""night, bye, goodbye""",None,"""Bye! It was nice talking with you.""","""What’s been happening lately?""",playful,0.85,Yes
357,Joke,Joke,"""pun, laugh, joke""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you usually do this?""",empathetic,0.74,Yes
358,Opinion,Opinion,"""books, movies, sports""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Did that make you laugh?""",empathetic,1.0,Yes
359,Opinion,Opinion,"""tech, books, music""",None,"""Sports are exciting! Do you play any?""","""What’s been happening lately?""",playful,0.92,No
360,Greeting,Greeting,"""hello, hey, yo""",None,"""Hey! How’s it going?""","""Did that make you laugh?""",empathetic,0.84,No
361,Opinion,Opinion,"""movies, sports, books""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Do you enjoy this often?""",helpful,0.79,No
362,Mood,Mood,"""excited, sad, tired""",None,"""That’s exciting! Can you tell me more?""","""Did that make you laugh?""",enthusiastic,0.83,No
363,Opinion,Opinion,"""books, music, movies""",None,"""Books are wonderful! What’s the last book you read?""","""What’s been happening lately?""",friendly,0.7,Yes
364,Farewell,Farewell,"""night, see you, goodbye""",None,"""Good night! Sleep well.""","""Did that make you laugh?""",friendly,0.73,Yes
365,Greeting,Greeting,"""hey, yo, hello""",None,"""Hi there! How are you?""","""Do you enjoy this often?""",helpful,0.85,Yes
366,Joke,Joke,"""joke, pun, laugh""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""What’s been happening lately?""",cheerful,0.86,Yes
367,Farewell,Farewell,"""goodbye, bye, night""",None,"""Good night! Sleep well.""","""Do you usually do this?""",friendly,0.72,Yes
368,Farewell,Farewell,"""bye, night, goodbye""",None,"""Bye! It was nice talking with you.""","""Do you usually do this?""",cheerful,0.79,No
369,Small Talk,Small Talk,"""weather, pet, drink""",None,"""I love talking about food! What’s your favorite meal?""","""What’s been happening lately?""",helpful,1.0,No
370,Farewell,Farewell,"""see you, goodbye, night""",None,"""Bye! It was nice talking with you.""","""Can you explain a bit more?""",helpful,0.85,Yes
371,Small Talk,Small Talk,"""hobby, food, drink""",None,"""Hobbies keep life interesting! What’s your favorite hobby?""","""Did that make you laugh?""",enthusiastic,0.76,Yes
372,Farewell,Farewell,"""see you, bye, goodbye""",None,"""Good night! Sleep well.""","""Do you enjoy this often?""",playful,0.72,No
373,Small Talk,Small Talk,"""hobby, food, travel""",None,"""I love talking about food! What’s your favorite meal?""","""What’s been happening lately?""",empathetic,0.9,Yes
374,Joke,Joke,"""laugh, joke, pun""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you enjoy this often?""",cheerful,0.9,No
375,Farewell,Farewell,"""night, see you, bye""",None,"""Good night! Sleep well.""","""Can you explain a bit more?""",empathetic,0.85,Yes
376,Greeting,Greeting,"""hello, yo, hi""",None,"""Hello! What’s up?""","""What’s been happening lately?""",friendly,0.78,Yes
377,Joke,Joke,"""funny, laugh, humor""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Can you explain a bit more?""",friendly,0.99,Yes
378,Small Talk,Small Talk,"""hobby, travel, food""",None,"""Pets are great! Do you have any?""","""Did that make you laugh?""",empathetic,0.97,No
379,Farewell,Farewell,"""bye, night, goodbye""",None,"""Bye! It was nice talking with you.""","""Can you explain a bit more?""",cheerful,1.0,No
380,Mood,Mood,"""excited, sad, frustrated""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you usually do this?""",enthusiastic,0.74,No
381,Joke,Joke,"""laugh, pun, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you often feel this way?""",friendly,0.8,Yes
382,Joke,Joke,"""funny, humor, pun""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you want to tell me more?""",cheerful,0.84,Yes
383,Small Talk,Small Talk,"""pet, food, drink""",None,"""Pets are great! Do you have any?""","""Do you often feel this way?""",playful,0.85,Yes
384,Joke,Joke,"""joke, funny, pun""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you want to tell me more?""",friendly,0.76,No
385,Small Talk,Small Talk,"""weather, hobby, pet""",None,"""Traveling is fun! Where is your dream destination?""","""What’s been happening lately?""",friendly,0.86,No
386,Small Talk,Small Talk,"""hobby, travel, pet""",None,"""I love talking about food! What’s your favorite meal?""","""Do you enjoy this often?""",enthusiastic,0.77,No
387,Opinion,Opinion,"""sports, tech, books""",None,"""Music is amazing! Who’s your favorite artist?""","""Do you enjoy this often?""",playful,0.84,Yes
388,Opinion,Opinion,"""sports, movies, music""",None,"""Movies are fun! What’s the last film you watched?""","""Do you often feel this way?""",playful,0.86,Yes
389,Joke,Joke,"""pun, funny, laugh""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Can you explain a bit more?""",enthusiastic,0.77,No
390,Joke,Joke,"""funny, humor, laugh""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you usually do this?""",cheerful,0.83,No
391,Small Talk,Small Talk,"""travel, hobby, pet""",None,"""Traveling is fun! Where is your dream destination?""","""Do you want to tell me more?""",helpful,0.83,Yes
392,Mood,Mood,"""joyful, happy, frustrated""",None,"""That’s exciting! Can you tell me more?""","""Do you usually do this?""",calm,0.9,No
393,Mood,Mood,"""happy, joyful, excited""",None,"""I’m glad to hear that! What’s making you happy today?""","""Can you explain a bit more?""",calm,0.98,Yes
394,Opinion,Opinion,"""music, tech, movies""",None,"""Sports are exciting! Do you play any?""","""Do you want to tell me more?""",helpful,0.91,No
395,Mood,Mood,"""happy, excited, joyful""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you want to tell me more?""",playful,0.72,No
396,Greeting,Greeting,"""hello, yo, hi""",None,"""Hello! What’s up?""","""Did that make you laugh?""",empathetic,1.0,Yes
397,Opinion,Opinion,"""music, sports, tech""",None,"""Books are wonderful! What’s the last book you read?""","""Do you want to tell me more?""",enthusiastic,0.82,Yes
398,Farewell,Farewell,"""see you, night, goodbye""",None,"""Good night! Sleep well.""","""Did that make you laugh?""",playful,0.74,No
399,Opinion,Opinion,"""music, sports, tech""",None,"""Movies are fun! What’s the last film you watched?""","""Do you enjoy this often?""",empathetic,0.7,No
400,Greeting,Greeting,"""hi, hey, yo""",None,"""Hi there! How are you?""","""Do you enjoy this often?""",cheerful,0.82,No
401,Small Talk,Small Talk,"""hobby, drink, travel""",None,"""Hobbies keep life interesting! What’s your favorite hobby?""","""Do you want to tell me more?""",helpful,0.74,No
402,Opinion,Opinion,"""music, books, tech""",None,"""Movies are fun! What’s the last film you watched?""","""Do you often feel this way?""",friendly,0.97,Yes
403,Mood,Mood,"""sad, frustrated, tired""",None,"""That’s exciting! Can you tell me more?""","""Do you usually do this?""",calm,0.81,No
404,Mood,Mood,"""excited, joyful, sad""",None,"""That’s exciting! Can you tell me more?""","""Do you usually do this?""",cheerful,0.94,Yes
405,Mood,Mood,"""happy, frustrated, sad""",None,"""I’m glad to hear that! What’s making you happy today?""","""Can you explain a bit more?""",friendly,0.87,No
406,Opinion,Opinion,"""books, sports, movies""",None,"""Sports are exciting! Do you play any?""","""Do you enjoy this often?""",calm,0.76,Yes
407,Greeting,Greeting,"""hey, hello, hi""",None,"""Hello! What’s up?""","""Did that make you laugh?""",enthusiastic,0.97,No
408,Farewell,Farewell,"""bye, goodbye, night""",None,"""Good night! Sleep well.""","""Do you want to tell me more?""",cheerful,0.98,Yes
409,Small Talk,Small Talk,"""drink, travel, pet""",None,"""I love talking about food! What’s your favorite meal?""","""Can you explain a bit more?""",calm,0.77,No
410,Farewell,Farewell,"""bye, night, see you""",None,"""Bye! It was nice talking with you.""","""Do you often feel this way?""",empathetic,0.74,Yes
411,Joke,Joke,"""humor, pun, laugh""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you want to tell me more?""",playful,0.82,No
412,Opinion,Opinion,"""tech, music, movies""",None,"""Books are wonderful! What’s the last book you read?""","""Do you usually do this?""",cheerful,0.87,No
413,Mood,Mood,"""sad, happy, frustrated""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you enjoy this often?""",playful,0.95,No
414,Farewell,Farewell,"""bye, night, goodbye""",None,"""Bye! It was nice talking with you.""","""Do you want to tell me more?""",helpful,0.94,Yes
415,Opinion,Opinion,"""sports, movies, music""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Do you often feel this way?""",enthusiastic,0.82,Yes
416,Small Talk,Small Talk,"""travel, weather, drink""",None,"""I love talking about food! What’s your favorite meal?""","""Do you often feel this way?""",empathetic,0.86,Yes
417,Opinion,Opinion,"""sports, tech, books""",None,"""Books are wonderful! What’s the last book you read?""","""What’s been happening lately?""",cheerful,0.87,No
418,Opinion,Opinion,"""tech, movies, music""",None,"""Music is amazing! Who’s your favorite artist?""","""Do you usually do this?""",playful,0.71,Yes
419,Joke,Joke,"""funny, laugh, humor""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""What’s been happening lately?""",empathetic,0.91,Yes
420,Opinion,Opinion,"""tech, sports, movies""",None,"""Movies are fun! What’s the last film you watched?""","""Can you explain a bit more?""",enthusiastic,0.75,Yes
421,Mood,Mood,"""tired, excited, frustrated""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you enjoy this often?""",enthusiastic,0.93,No
422,Greeting,Greeting,"""hi, hey, hello""",None,"""Hey! How’s it going?""","""Do you want to tell me more?""",helpful,0.86,No
423,Opinion,Opinion,"""tech, music, movies""",None,"""Technology is fascinating! What’s your favorite gadget?""","""What’s been happening lately?""",empathetic,0.73,Yes
424,Farewell,Farewell,"""bye, see you, night""",None,"""Good night! Sleep well.""","""Do you often feel this way?""",friendly,0.88,Yes
425,Small Talk,Small Talk,"""hobby, food, pet""",None,"""Traveling is fun! Where is your dream destination?""","""Did that make you laugh?""",cheerful,0.91,No
426,Mood,Mood,"""joyful, happy, excited""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you enjoy this often?""",enthusiastic,0.76,Yes
427,Opinion,Opinion,"""movies, sports, music""",None,"""Books are wonderful! What’s the last book you read?""","""What’s been happening lately?""",enthusiastic,0.94,Yes
428,Mood,Mood,"""excited, tired, frustrated""",None,"""That’s exciting! Can you tell me more?""","""What’s been happening lately?""",helpful,0.87,No
429,Farewell,Farewell,"""goodbye, bye, night""",None,"""Bye! It was nice talking with you.""","""Do you enjoy this often?""",empathetic,0.79,Yes
430,Farewell,Farewell,"""see you, night, goodbye""",None,"""Good night! Sleep well.""","""Can you explain a bit more?""",cheerful,0.82,No
431,Farewell,Farewell,"""see you, goodbye, bye""",None,"""Good night! Sleep well.""","""Do you want to tell me more?""",playful,0.86,Yes
432,Mood,Mood,"""excited, joyful, frustrated""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you want to tell me more?""",cheerful,0.85,No
433,Opinion,Opinion,"""music, sports, movies""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Do you enjoy this often?""",cheerful,0.9,No
434,Farewell,Farewell,"""see you, goodbye, night""",None,"""Good night! Sleep well.""","""Do you enjoy this often?""",playful,0.85,Yes
435,Small Talk,Small Talk,"""weather, hobby, food""",None,"""Traveling is fun! Where is your dream destination?""","""Do you enjoy this often?""",enthusiastic,0.95,Yes
436,Farewell,Farewell,"""goodbye, see you, night""",None,"""Bye! It was nice talking with you.""","""Do you want to tell me more?""",empathetic,0.84,Yes
437,Opinion,Opinion,"""movies, music, tech""",None,"""Music is amazing! Who’s your favorite artist?""","""Do you usually do this?""",enthusiastic,0.93,Yes
438,Small Talk,Small Talk,"""weather, drink, travel""",None,"""Traveling is fun! Where is your dream destination?""","""Do you often feel this way?""",enthusiastic,0.91,Yes
439,Mood,Mood,"""tired, joyful, happy""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you usually do this?""",enthusiastic,0.92,No
440,Small Talk,Small Talk,"""food, drink, pet""",None,"""Traveling is fun! Where is your dream destination?""","""Do you enjoy this often?""",playful,0.94,No
441,Mood,Mood,"""tired, frustrated, sad""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you enjoy this often?""",enthusiastic,0.88,No
442,Opinion,Opinion,"""books, movies, tech""",None,"""Music is amazing! Who’s your favorite artist?""","""Do you often feel this way?""",playful,0.76,No
443,Joke,Joke,"""pun, joke, humor""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Can you explain a bit more?""",enthusiastic,0.9,Yes
444,Farewell,Farewell,"""goodbye, see you, night""",None,"""Good night! Sleep well.""","""Do you often feel this way?""",playful,0.72,Yes
445,Joke,Joke,"""joke, funny, laugh""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you enjoy this often?""",empathetic,0.72,No
446,Small Talk,Small Talk,"""travel, hobby, drink""",None,"""Traveling is fun! Where is your dream destination?""","""What’s been happening lately?""",cheerful,0.86,No
447,Farewell,Farewell,"""bye, goodbye, night""",None,"""Good night! Sleep well.""","""Do you want to tell me more?""",cheerful,0.94,No
448,Opinion,Opinion,"""tech, music, movies""",None,"""Music is amazing! Who’s your favorite artist?""","""Can you explain a bit more?""",empathetic,0.91,Yes
449,Opinion,Opinion,"""tech, sports, movies""",None,"""Movies are fun! What’s the last film you watched?""","""Do you often feel this way?""",calm,0.79,Yes
450,Joke,Joke,"""laugh, pun, humor""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you enjoy this often?""",friendly,0.86,No
451,Farewell,Farewell,"""bye, see you, goodbye""",None,"""Bye! It was nice talking with you.""","""Do you enjoy this often?""",cheerful,0.93,Yes
452,Opinion,Opinion,"""sports, movies, tech""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Did that make you laugh?""",empathetic,0.82,Yes
453,Farewell,Farewell,"""night, bye, see you""",None,"""Good night! Sleep well.""","""Do you want to tell me more?""",empathetic,0.82,Yes
454,Joke,Joke,"""laugh, pun, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you often feel this way?""",friendly,0.8,No
455,Greeting,Greeting,"""hey, hello, yo""",None,"""Hey! How’s it going?""","""Do you want to tell me more?""",enthusiastic,0.74,Yes
456,Joke,Joke,"""funny, humor, laugh""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Can you explain a bit more?""",enthusiastic,0.9,Yes
457,Small Talk,Small Talk,"""food, pet, hobby""",None,"""I love talking about food! What’s your favorite meal?""","""Do you usually do this?""",friendly,0.97,No
458,Farewell,Farewell,"""see you, night, goodbye""",None,"""Bye! It was nice talking with you.""","""Do you enjoy this often?""",helpful,0.96,Yes
459,Mood,Mood,"""joyful, frustrated, sad""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you often feel this way?""",enthusiastic,0.91,Yes
460,Opinion,Opinion,"""books, movies, music""",None,"""Sports are exciting! Do you play any?""","""Did that make you laugh?""",playful,0.88,No
461,Mood,Mood,"""tired, happy, frustrated""",None,"""That’s exciting! Can you tell me more?""","""Can you explain a bit more?""",cheerful,0.92,Yes
462,Greeting,Greeting,"""hello, hi, yo""",None,"""Hi there! How are you?""","""Do you often feel this way?""",empathetic,0.78,Yes
463,Mood,Mood,"""joyful, happy, sad""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you often feel this way?""",cheerful,0.87,No
464,Greeting,Greeting,"""yo, hey, hello""",None,"""Hi there! How are you?""","""Can you explain a bit more?""",friendly,0.91,No
465,Joke,Joke,"""funny, pun, laugh""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you often feel this way?""",friendly,0.79,Yes
466,Small Talk,Small Talk,"""drink, travel, pet""",None,"""I love talking about food! What’s your favorite meal?""","""Do you usually do this?""",friendly,0.84,Yes
467,Opinion,Opinion,"""movies, sports, tech""",None,"""Music is amazing! Who’s your favorite artist?""","""What’s been happening lately?""",cheerful,0.78,No
468,Joke,Joke,"""joke, pun, laugh""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you usually do this?""",helpful,0.8,Yes
469,Joke,Joke,"""joke, funny, laugh""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you often feel this way?""",helpful,0.9,Yes
470,Opinion,Opinion,"""music, sports, books""",None,"""Movies are fun! What’s the last film you watched?""","""Can you explain a bit more?""",enthusiastic,0.75,Yes
471,Greeting,Greeting,"""hi, yo, hey""",None,"""Hey! How’s it going?""","""Do you often feel this way?""",enthusiastic,0.95,No
472,Small Talk,Small Talk,"""travel, hobby, food""",None,"""I love talking about food! What’s your favorite meal?""","""Did that make you laugh?""",cheerful,0.8,No
473,Mood,Mood,"""sad, tired, happy""",None,"""That’s exciting! Can you tell me more?""","""Can you explain a bit more?""",cheerful,0.88,No
474,Farewell,Farewell,"""goodbye, bye, see you""",None,"""Bye! It was nice talking with you.""","""Can you explain a bit more?""",empathetic,0.85,No
475,Small Talk,Small Talk,"""pet, weather, drink""",None,"""I love talking about food! What’s your favorite meal?""","""Do you want to tell me more?""",enthusiastic,1.0,Yes
476,Mood,Mood,"""frustrated, happy, excited""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""What’s been happening lately?""",enthusiastic,0.82,No
477,Small Talk,Small Talk,"""pet, travel, drink""",None,"""Traveling is fun! Where is your dream destination?""","""Do you usually do this?""",calm,0.98,No
478,Farewell,Farewell,"""night, see you, bye""",None,"""Bye! It was nice talking with you.""","""Did that make you laugh?""",playful,0.99,No
479,Greeting,Greeting,"""yo, hey, hi""",None,"""Hey! How’s it going?""","""Can you explain a bit more?""",empathetic,0.96,Yes
480,Small Talk,Small Talk,"""travel, hobby, pet""",None,"""Pets are great! Do you have any?""","""What’s been happening lately?""",friendly,0.82,Yes
481,Greeting,Greeting,"""hi, hello, hey""",None,"""Hello! What’s up?""","""Do you enjoy this often?""",friendly,0.95,Yes
482,Greeting,Greeting,"""hey, hello, hi""",None,"""Hi there! How are you?""","""Can you explain a bit more?""",cheerful,0.98,No
483,Farewell,Farewell,"""bye, goodbye, see you""",None,"""Bye! It was nice talking with you.""","""Do you enjoy this often?""",calm,0.92,No
484,Greeting,Greeting,"""yo, hi, hey""",None,"""Hello! What’s up?""","""Can you explain a bit more?""",helpful,0.71,No
485,Greeting,Greeting,"""hey, hi, hello""",None,"""Hey! How’s it going?""","""Do you want to tell me more?""",playful,0.99,Yes
486,Small Talk,Small Talk,"""pet, drink, food""",None,"""Pets are great! Do you have any?""","""What’s been happening lately?""",friendly,0.9,Yes
487,Greeting,Greeting,"""hey, hi, yo""",None,"""Hi there! How are you?""","""Do you want to tell me more?""",helpful,0.88,No
488,Small Talk,Small Talk,"""weather, food, pet""",None,"""Traveling is fun! Where is your dream destination?""","""Do you want to tell me more?""",friendly,0.92,Yes
489,Opinion,Opinion,"""movies, tech, sports""",None,"""Music is amazing! Who’s your favorite artist?""","""Do you often feel this way?""",cheerful,0.73,No
490,Greeting,Greeting,"""hello, hi, yo""",None,"""Hey! How’s it going?""","""What’s been happening lately?""",calm,0.89,Yes
491,Mood,Mood,"""frustrated, sad, excited""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you want to tell me more?""",friendly,0.96,No
492,Joke,Joke,"""pun, joke, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you often feel this way?""",playful,0.75,No
493,Joke,Joke,"""laugh, humor, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Can you explain a bit more?""",calm,0.77,No
494,Opinion,Opinion,"""books, music, movies""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Do you often feel this way?""",cheerful,0.99,Yes
495,Greeting,Greeting,"""yo, hello, hey""",None,"""Hey! How’s it going?""","""What’s been happening lately?""",empathetic,0.84,Yes
496,Opinion,Opinion,"""books, tech, music""",None,"""Movies are fun! What’s the last film you watched?""","""Do you often feel this way?""",helpful,0.78,Yes
497,Small Talk,Small Talk,"""drink, travel, food""",None,"""Pets are great! Do you have any?""","""Do you enjoy this often?""",calm,0.89,Yes
498,Opinion,Opinion,"""movies, books, sports""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Can you explain a bit more?""",enthusiastic,0.77,No
499,Joke,Joke,"""funny, humor, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""What’s been happening lately?""",playful,0.85,Yes
500,Farewell,Farewell,"""night, bye, goodbye""",None,"""Good night! Sleep well.""","""What’s been happening lately?""",empathetic,0.89,No
501,Opinion,Opinion,"""art, fashion, history, sports""",None,"""History is rich. Any era you love?""","""Do you want to tell me more?""",curious,0.58,No
502,Opinion,Opinion,"""science, history, sports, books""",None,"""History is rich. Any era you love?""","""Do you often feel this way?""",excited,0.87,Yes
